Tab 1:
|      |   No | Division       | Sub-Division          | Country        | Legal Entity                       | KRIs                                      |     Q3 2024 KRI |     Q2 2024 KRI |      Variance | Sample Selected   |
| 1317 | 1318 | Retail Bank    | Europe                | Switzerland    | Willett Bank Geneva                | Transactions with Russia - volume         |               0 |               0 |   0           |                   |
| 1318 | 1319 | Retail Bank    | Europe                | Switzerland    | Willett Bank Geneva                | Transactions with Russia - value          |               0 |               0 |   0           |                   |
| 1319 | 1320 | Markets        | Trading               | Switzerland    | Willett Bank Geneva                | Total clients                             |               4 |             106 | -25.5         | 1                 |
| 1320 | 1321 | Markets        | Trading               | Switzerland    | Willett Bank Geneva                | Business Income                           |        31086707 |        29008574 |   0.0668496   |                   |
| 1321 | 1322 | Markets        | Trading               | Switzerland    | Willett Bank Geneva                | HR Clients                                |               1 |               9 |  -8           | 1                 |
| 1322 | 1323 | Markets        | Trading               | Switzerland    | Willett Bank Geneva                | MR Clients                                |               0 |              48 |   0           |                   |
| 1323 | 1324 | Markets        | Trading               | Switzerland    | Willett Bank Geneva                | LR Clients                                |               0 |              10 |   0           |                   |
| 1324 | 1325 | Markets        | Trading               | Switzerland    | Willett Bank Geneva                | Terrorist Financing breaches              |               0 |               8 |   0           |                   |
| 1325 | 1326 | Markets        | Trading               | Switzerland    | Willett Bank Geneva                | Proliferation Financing breaches          |               0 |               0 |   0           |                   |
| 1326 | 1327 | Markets        | Trading               | Switzerland    | Willett Bank Geneva                | New Products                              |               0 |               0 |   0           |                   |
| 1327 | 1328 | Corporate Bank | Corporate Loans       | UAE            | Willett Bank UAE                   | Total clients                             |             186 |             185 |   0.00537634  |                   |
| 1328 | 1329 | Corporate Bank | Corporate Loans       | UAE            | Willett Bank UAE                   | Business Income                           |           12139 |           10831 |   0.107752    |                   |
| 1329 | 1330 | Corporate Bank | Corporate Loans       | UAE            | Willett Bank UAE                   | Total Transactions                        |          158126 |          157604 |   0.00330116  |                   |
| 1330 | 1331 | Corporate Bank | Corporate Loans       | UAE            | Willett Bank UAE                   | Value of transactions                     |           11667 |           12217 |  -0.0471415   |                   |
| 1331 | 1332 | Corporate Bank | Corporate Loans       | UAE            | Willett Bank UAE                   | HR Clients                                |             177 |             176 |   0.00564972  |                   |
| 1332 | 1333 | Corporate Bank | Corporate Loans       | UAE            | Willett Bank UAE                   | MR Clients                                |               5 |               4 |   0.2         |                   |
| 1333 | 1334 | Corporate Bank | Corporate Loans       | UAE            | Willett Bank UAE                   | LR Clients                                |               3 |               5 |  -0.666667    |                   |
| 1334 | 1335 | Corporate Bank | Corporate Loans       | UAE            | Willett Bank UAE                   | Terrorist Financing breaches              |               3 |               3 |   0           |                   |
| 1335 | 1336 | Corporate Bank | Corporate Loans       | UAE            | Willett Bank UAE                   | Proliferation Financing breaches          |               1 |               3 |  -2           | 1                 |
| 1336 | 1337 | Corporate Bank | Corporate Loans       | UAE            | Willett Bank UAE                   | New Products                              |               0 |               0 |   0           |                   |
| 1337 | 1338 | Corporate Bank | Corporate Loans       | UAE            | Willett Bank UAE                   | Wires - volume                            |            9550 |            8754 |   0.0833508   |                   |
| 1338 | 1339 | Corporate Bank | Corporate Loans       | UAE            | Willett Bank UAE                   | Wires - value                             |         1093000 |         1004501 |   0.0809689   |                   |
| 1339 | 1340 | Corporate Bank | Marine Finance        | UAE            | Willett Bank UAE                   | Total clients                             |               9 |             147 | -15.3333      | 1                 |
| 1340 | 1341 | Corporate Bank | Marine Finance        | UAE            | Willett Bank UAE                   | Business Income                           |            2062 |             606 |   0.706111    |                   |
| 1341 | 1342 | Corporate Bank | Marine Finance        | UAE            | Willett Bank UAE                   | HR Clients                                |               9 |             147 | -15.3333      | 1                 |
| 1342 | 1343 | Corporate Bank | Marine Finance        | UAE            | Willett Bank UAE                   | MR Clients                                |               0 |               0 |   0           |                   |
| 1343 | 1344 | Corporate Bank | Marine Finance        | UAE            | Willett Bank UAE                   | LR Clients                                |               0 |              72 |   0           |                   |
| 1344 | 1345 | Corporate Bank | Marine Finance        | UAE            | Willett Bank UAE                   | Terrorist Financing breaches              |               0 |              89 |   0           |                   |
| 1345 | 1346 | Corporate Bank | Marine Finance        | UAE            | Willett Bank UAE                   | Proliferation Financing breaches          |               0 |              27 |   0           |                   |
| 1346 | 1347 | Corporate Bank | Marine Finance        | UAE            | Willett Bank UAE                   | New Products                              |               0 |               0 |   0           |                   |
| 1347 | 1348 | Corporate Bank | Marine Finance        | UAE            | Willett Bank UAE                   | Wires - volume                            |            9704 |            8847 |   0.0883141   |                   |
| 1348 | 1349 | Corporate Bank | Marine Finance        | UAE            | Willett Bank UAE                   | Wires - value                             |         2628623 |         2500613 |   0.0486985   |                   |
| 1349 | 1350 | Corporate Bank | Fund Services         | UAE            | Willett Bank UAE                   | Total clients                             |              23 |              22 |   0.0434783   |                   |
| 1350 | 1351 | Corporate Bank | Fund Services         | UAE            | Willett Bank UAE                   | Business Income                           |            1557 |            1276 |   0.180475    |                   |
| 1351 | 1352 | Corporate Bank | Fund Services         | UAE            | Willett Bank UAE                   | Total Transactions                        |            1989 |            1896 |   0.0467572   |                   |
| 1352 | 1353 | Corporate Bank | Fund Services         | UAE            | Willett Bank UAE                   | Value of transactions                     |          712840 |          708517 |   0.00606447  |                   |
| 1353 | 1354 | Corporate Bank | Fund Services         | UAE            | Willett Bank UAE                   | HR Clients                                |              15 |              15 |   0           |                   |
| 1354 | 1355 | Corporate Bank | Fund Services         | UAE            | Willett Bank UAE                   | MR Clients                                |               4 |               3 |   0.25        |                   |
| 1355 | 1356 | Corporate Bank | Fund Services         | UAE            | Willett Bank UAE                   | LR Clients                                |               2 |               2 |   0           |                   |
| 1356 | 1357 | Corporate Bank | Fund Services         | UAE            | Willett Bank UAE                   | Terrorist Financing breaches              |               1 |               2 |  -1           |                   |
| 1357 | 1358 | Corporate Bank | Fund Services         | UAE            | Willett Bank UAE                   | Proliferation Financing breaches          |               1 |               2 |  -1           |                   |
| 1358 | 1359 | Corporate Bank | Fund Services         | UAE            | Willett Bank UAE                   | New Products                              |               0 |               0 |   0           |                   |
| 1359 | 1360 | Corporate Bank | Fund Services         | UAE            | Willett Bank UAE                   | Wires - volume                            |              50 |              52 |  -0.04        |                   |
| 1360 | 1361 | Corporate Bank | Fund Services         | UAE            | Willett Bank UAE                   | Wires - value                             |           27787 |           27115 |   0.024184    |                   |
| 1361 | 1362 | Markets        | Trading               | UAE            | Willett Bank UAE                   | Total clients                             |              11 |               5 |   0.545455    |                   |
| 1362 | 1363 | Markets        | Trading               | UAE            | Willett Bank UAE                   | Business Income                           |            1379 |            1427 |  -0.0348078   |                   |
| 1363 | 1364 | Markets        | Trading               | UAE            | Willett Bank UAE                   | HR Clients                                |               8 |               4 |   0.5         |                   |
| 1364 | 1365 | Markets        | Trading               | UAE            | Willett Bank UAE                   | MR Clients                                |               1 |               0 |   1           |                   |
| 1365 | 1366 | Markets        | Trading               | UAE            | Willett Bank UAE                   | LR Clients                                |               3 |               1 |   0.666667    |                   |
| 1366 | 1367 | Markets        | Trading               | UAE            | Willett Bank UAE                   | Terrorist Financing breaches              |               0 |               0 |   0           |                   |
| 1367 | 1368 | Markets        | Trading               | UAE            | Willett Bank UAE                   | Proliferation Financing breaches          |               0 |               0 |   0           |                   |
| 1368 | 1369 | Markets        | Trading               | UAE            | Willett Bank UAE                   | New Products                              |               0 |               0 |   0           |                   |
| 1369 | 1370 | Retail Bank    | EMEA                  | UAE            | Willett Bank UAE                   | Total clients                             |             641 |             679 |  -0.0592824   |                   |
| 1370 | 1371 | Retail Bank    | EMEA                  | UAE            | Willett Bank UAE                   | Business Income                           |           80543 |          135654 |  -0.684243    |                   |
| 1371 | 1372 | Retail Bank    | EMEA                  | UAE            | Willett Bank UAE                   | Total Transactions                        |               0 |               0 |   0           |                   |
| 1372 | 1373 | Retail Bank    | EMEA                  | UAE            | Willett Bank UAE                   | Value of transactions                     |               0 |               0 |   0           |                   |
| 1373 | 1374 | Retail Bank    | EMEA                  | UAE            | Willett Bank UAE                   | HR Clients                                |             579 |             613 |  -0.0587219   |                   |
| 1374 | 1375 | Retail Bank    | EMEA                  | UAE            | Willett Bank UAE                   | MR Clients                                |              34 |              43 |  -0.264706    |                   |
| 1375 | 1376 | Retail Bank    | EMEA                  | UAE            | Willett Bank UAE                   | LR Clients                                |             237 |             258 |  -0.0886076   |                   |
| 1376 | 1377 | Retail Bank    | EMEA                  | UAE            | Willett Bank UAE                   | Terrorist Financing breaches              |              77 |              78 |  -0.012987    |                   |
| 1377 | 1378 | Retail Bank    | EMEA                  | UAE            | Willett Bank UAE                   | Proliferation Financing breaches          |               9 |              20 |  -1.22222     | 1                 |
| 1378 | 1379 | Retail Bank    | EMEA                  | UAE            | Willett Bank UAE                   | Clients with HR products                  |               0 |               0 |   0           |                   |
| 1379 | 1380 | Retail Bank    | EMEA                  | UAE            | Willett Bank UAE                   | New Products                              |               0 |               0 |   0           |                   |
| 1380 | 1381 | Retail Bank    | EMEA                  | UAE            | Willett Bank UAE                   | Wires - volume                            |               0 |               0 |   0           |                   |
| 1381 | 1382 | Retail Bank    | EMEA                  | UAE            | Willett Bank UAE                   | Wires - value                             |               0 |               0 |   0           |                   |
| 1382 | 1383 | Retail Bank    | EMEA                  | UAE            | Willett Bank UAE                   | PEPs                                      |               0 |               0 |   0           |                   |
| 1383 | 1384 | Retail Bank    | EMEA                  | UAE            | Willett Bank UAE                   | Transactions Prohibited countries - value |               0 |               0 |   0           |                   |
| 1384 | 1385 | Retail Bank    | EMEA                  | UAE            | Willett Bank UAE                   | Transactions with Russia - volume         |               0 |               0 |   0           |                   |
| 1385 | 1386 | Retail Bank    | EMEA                  | UAE            | Willett Bank UAE                   | Transactions with Russia - value          |               0 |               0 |   0           |                   |
| 1386 | 1387 | Corporate Bank | Corporate Loans       | UK             | Willett Bank London                | Total clients                             |            2227 |            3608 |  -0.620117    |                   |
| 1387 | 1388 | Corporate Bank | Corporate Loans       | UK             | Willett Bank London                | Business Income                           |          126366 |          115147 |   0.0887818   |                   |
| 1388 | 1389 | Corporate Bank | Corporate Loans       | UK             | Willett Bank London                | Total Transactions                        |           26525 |           26626 |  -0.00380773  |                   |
| 1389 | 1390 | Corporate Bank | Corporate Loans       | UK             | Willett Bank London                | Value of transactions                     |      2705253221 |      2654887654 |   0.0186177   |                   |
| 1390 | 1391 | Corporate Bank | Corporate Loans       | UK             | Willett Bank London                | HR Clients                                |             297 |             419 |  -0.410774    |                   |
| 1391 | 1392 | Corporate Bank | Corporate Loans       | UK             | Willett Bank London                | MR Clients                                |             524 |             820 |  -0.564885    |                   |
| 1392 | 1393 | Corporate Bank | Corporate Loans       | UK             | Willett Bank London                | LR Clients                                |             102 |             252 |  -1.47059     | 1                 |
| 1393 | 1394 | Corporate Bank | Corporate Loans       | UK             | Willett Bank London                | Terrorist Financing breaches              |              62 |             104 |  -0.677419    |                   |
| 1394 | 1395 | Corporate Bank | Corporate Loans       | UK             | Willett Bank London                | Proliferation Financing breaches          |              26 |              92 |  -2.53846     | 1                 |
| 1395 | 1396 | Corporate Bank | Corporate Loans       | UK             | Willett Bank London                | New Products                              |               2 |               2 |   0           |                   |
| 1396 | 1397 | Corporate Bank | Corporate Loans       | UK             | Willett Bank London                | Wires - volume                            |            2155 |            2083 |   0.0334107   |                   |
| 1397 | 1398 | Corporate Bank | Corporate Loans       | UK             | Willett Bank London                | Wires - value                             |        45431267 |        44624019 |   0.0177686   |                   |
| 1398 | 1399 | Corporate Bank | Marine Finance        | UK             | Willett Bank London                | Total clients                             |            1081 |             463 |   0.571693    |                   |
| 1399 | 1400 | Corporate Bank | Marine Finance        | UK             | Willett Bank London                | Business Income                           |           60527 |           53270 |   0.119897    |                   |
| 1400 | 1401 | Corporate Bank | Marine Finance        | UK             | Willett Bank London                | Total Transactions                        |           16243 |           15779 |   0.0285662   |                   |
| 1401 | 1402 | Corporate Bank | Marine Finance        | UK             | Willett Bank London                | Value of transactions                     |        25381580 |        23772050 |   0.0634133   |                   |
| 1402 | 1403 | Corporate Bank | Marine Finance        | UK             | Willett Bank London                | HR Clients                                |             490 |             402 |   0.179592    |                   |
| 1403 | 1404 | Corporate Bank | Marine Finance        | UK             | Willett Bank London                | MR Clients                                |             178 |              28 |   0.842697    |                   |
| 1404 | 1405 | Corporate Bank | Marine Finance        | UK             | Willett Bank London                | LR Clients                                |             226 |             240 |  -0.0619469   |                   |
| 1405 | 1406 | Corporate Bank | Marine Finance        | UK             | Willett Bank London                | Terrorist Financing breaches              |             209 |             210 |  -0.00478469  |                   |
| 1406 | 1407 | Corporate Bank | Marine Finance        | UK             | Willett Bank London                | Proliferation Financing breaches          |              38 |              55 |  -0.447368    |                   |
| 1407 | 1408 | Corporate Bank | Marine Finance        | UK             | Willett Bank London                | New Products                              |               0 |               0 |   0           |                   |
| 1408 | 1409 | Corporate Bank | Marine Finance        | UK             | Willett Bank London                | Wires - volume                            |            7139 |            7317 |  -0.0249335   |                   |
| 1409 | 1410 | Corporate Bank | Marine Finance        | UK             | Willett Bank London                | Wires - value                             |         5108030 |         5008888 |   0.019409    |                   |
| 1410 | 1411 | Corporate Bank | Fund Services         | UK             | Willett Bank London                | Total clients                             |             116 |             107 |   0.0775862   |                   |
| 1411 | 1412 | Corporate Bank | Fund Services         | UK             | Willett Bank London                | Business Income                           |            6343 |            6727 |  -0.0605392   |                   |
| 1412 | 1413 | Corporate Bank | Fund Services         | UK             | Willett Bank London                | Total Transactions                        |          497391 |          484219 |   0.0264822   |                   |
| 1413 | 1414 | Corporate Bank | Fund Services         | UK             | Willett Bank London                | Value of transactions                     |         5898657 |         5334085 |   0.095712    |                   |
| 1414 | 1415 | Corporate Bank | Fund Services         | UK             | Willett Bank London                | HR Clients                                |              10 |              25 |  -1.5         | 1                 |
| 1415 | 1416 | Corporate Bank | Fund Services         | UK             | Willett Bank London                | MR Clients                                |              40 |              29 |   0.275       |                   |
| 1416 | 1417 | Corporate Bank | Fund Services         | UK             | Willett Bank London                | LR Clients                                |              16 |               4 |   0.75        |                   |
| 1417 | 1418 | Corporate Bank | Fund Services         | UK             | Willett Bank London                | Terrorist Financing breaches              |               2 |               2 |   0           |                   |
| 1418 | 1419 | Corporate Bank | Fund Services         | UK             | Willett Bank London                | Proliferation Financing breaches          |               0 |               0 |   0           |                   |
| 1419 | 1420 | Corporate Bank | Fund Services         | UK             | Willett Bank London                | New Products                              |               0 |               0 |   0           |                   |
| 1420 | 1421 | Corporate Bank | Fund Services         | UK             | Willett Bank London                | Wires - volume                            |              57 |              79 |  -0.385965    |                   |
| 1421 | 1422 | Corporate Bank | Fund Services         | UK             | Willett Bank London                | Wires - value                             |           69658 |          186226 |  -1.67343     | 1                 |
| 1422 | 1423 | Corporate Bank | Syndicated Lending    | UK             | Willett Bank London                | Total clients                             |            1999 |            1945 |   0.0270135   |                   |
| 1423 | 1424 | Corporate Bank | Syndicated Lending    | UK             | Willett Bank London                | Business Income                           |           98881 |           88236 |   0.107655    |                   |
| 1424 | 1425 | Corporate Bank | Syndicated Lending    | UK             | Willett Bank London                | Total Transactions                        |          177495 |          169884 |   0.0428801   |                   |
| 1425 | 1426 | Corporate Bank | Syndicated Lending    | UK             | Willett Bank London                | Value of transactions                     |         1276954 |         1209922 |   0.0524937   |                   |
| 1426 | 1427 | Corporate Bank | Syndicated Lending    | UK             | Willett Bank London                | HR Clients                                |             234 |             299 |  -0.277778    |                   |
| 1427 | 1428 | Corporate Bank | Syndicated Lending    | UK             | Willett Bank London                | MR Clients                                |             528 |             462 |   0.125       |                   |
| 1428 | 1429 | Corporate Bank | Syndicated Lending    | UK             | Willett Bank London                | LR Clients                                |             191 |             182 |   0.0471204   |                   |
| 1429 | 1430 | Corporate Bank | Syndicated Lending    | UK             | Willett Bank London                | Terrorist Financing breaches              |              62 |              89 |  -0.435484    |                   |
| 1430 | 1431 | Corporate Bank | Syndicated Lending    | UK             | Willett Bank London                | Proliferation Financing breaches          |              30 |              42 |  -0.4         |                   |
| 1431 | 1432 | Corporate Bank | Syndicated Lending    | UK             | Willett Bank London                | New Products                              |               0 |               0 |   0           |                   |
| 1432 | 1433 | Corporate Bank | Syndicated Lending    | UK             | Willett Bank London                | Wires - volume                            |             770 |             780 |  -0.012987    |                   |
| 1433 | 1434 | Corporate Bank | Syndicated Lending    | UK             | Willett Bank London                | Wires - value                             |         4187174 |         4023194 |   0.0391625   |                   |
| 1434 | 1435 | Corporate Bank | Correspondent Banking | UK             | Willett Bank London                | Total clients                             |             110 |             115 |  -0.0454545   |                   |
| 1435 | 1436 | Corporate Bank | Correspondent Banking | UK             | Willett Bank London                | Business Income                           |        35411765 |        37765432 |  -0.0664657   |                   |
| 1436 | 1437 | Corporate Bank | Correspondent Banking | UK             | Willett Bank London                | Total Transactions                        |          675876 |          674678 |   0.00177251  |                   |
| 1437 | 1438 | Corporate Bank | Correspondent Banking | UK             | Willett Bank London                | Value of transactions                     |      3470539309 |      3650765776 |  -0.0519304   |                   |
| 1438 | 1439 | Corporate Bank | Correspondent Banking | UK             | Willett Bank London                | HR Clients                                |              56 |              58 |  -0.0357143   |                   |
| 1439 | 1440 | Corporate Bank | Correspondent Banking | UK             | Willett Bank London                | MR Clients                                |              12 |              13 |  -0.0833333   |                   |
| 1440 | 1441 | Corporate Bank | Correspondent Banking | UK             | Willett Bank London                | LR Clients                                |              26 |              35 |  -0.346154    |                   |
| 1441 | 1442 | Corporate Bank | Correspondent Banking | UK             | Willett Bank London                | Terrorist Financing breaches              |              22 |              22 |   0           |                   |
| 1442 | 1443 | Corporate Bank | Correspondent Banking | UK             | Willett Bank London                | Proliferation Financing breaches          |               7 |              10 |  -0.428571    |                   |
| 1443 | 1444 | Corporate Bank | Correspondent Banking | UK             | Willett Bank London                | New Products                              |               0 |               0 |   0           |                   |
| 1444 | 1445 | Corporate Bank | Correspondent Banking | UK             | Willett Bank London                | Wires - volume                            |            5781 |            5688 |   0.0160872   |                   |
| 1445 | 1446 | Corporate Bank | Correspondent Banking | UK             | Willett Bank London                | Wires - value                             |      3103878675 |      3098786543 |   0.00164057  |                   |
| 1446 | 1447 | AM             | Asset Management      | UK             | Willett Bank London                | Total clients                             |            3128 |            3148 |  -0.00639386  |                   |
| 1447 | 1448 | AM             | Asset Management      | UK             | Willett Bank London                | Business Income                           |         5322180 |         4633808 |   0.12934     |                   |
| 1448 | 1449 | AM             | Asset Management      | UK             | Willett Bank London                | Total Transactions                        |             867 |             834 |   0.0380623   |                   |
| 1449 | 1450 | AM             | Asset Management      | UK             | Willett Bank London                | Value of transactions                     |        24435973 |        22576348 |   0.0761019   |                   |
| 1450 | 1451 | AM             | Asset Management      | UK             | Willett Bank London                | HR Clients                                |              19 |              17 |   0.105263    |                   |
| 1451 | 1452 | AM             | Asset Management      | UK             | Willett Bank London                | MR Clients                                |              35 |              34 |   0.0285714   |                   |
| 1452 | 1453 | AM             | Asset Management      | UK             | Willett Bank London                | LR Clients                                |               2 |               2 |   0           |                   |
| 1453 | 1454 | AM             | Asset Management      | UK             | Willett Bank London                | Terrorist Financing breaches              |               1 |               1 |   0           |                   |
| 1454 | 1455 | AM             | Asset Management      | UK             | Willett Bank London                | Proliferation Financing breaches          |               1 |               1 |   0           |                   |
| 1455 | 1456 | AM             | Asset Management      | UK             | Willett Bank London                | Clients with HR products                  |               0 |               0 |   0           |                   |
| 1456 | 1457 | AM             | Asset Management      | UK             | Willett Bank London                | New Products                              |               0 |               0 |   0           |                   |
| 1457 | 1458 | AM             | Asset Management      | UK             | Willett Bank London                | Wires - volume                            |               0 |               0 |   0           |                   |
| 1458 | 1459 | AM             | Asset Management      | UK             | Willett Bank London                | Wires - value                             |               0 |               0 |   0           |                   |
| 1459 | 1460 | AM             | Asset Management      | UK             | Willett Bank London                | PEPs                                      |               0 |               0 |   0           |                   |
| 1460 | 1461 | AM             | Asset Management      | UK             | Willett Bank London                | Transactions Prohibited countries - value |               0 |               0 |   0           |                   |
| 1461 | 1462 | AM             | Asset Management      | UK             | Willett Bank London                | Transactions with Russia - volume         |               0 |               0 |   0           |                   |
| 1462 | 1463 | AM             | Asset Management      | UK             | Willett Bank London                | Transactions with Russia - value          |               0 |               0 |   0           |                   |
| 1463 | 1464 | Markets        | Sales                 | UK             | Willett Bank London                | Total clients                             |            1280 |              22 |   0.982812    |                   |
| 1464 | 1465 | Markets        | Sales                 | UK             | Willett Bank London                | Business Income                           |       867564456 |       864567666 |   0.00345426  |                   |
| 1465 | 1466 | Markets        | Sales                 | UK             | Willett Bank London                | Total Transactions                        |            7100 |            7525 |  -0.0598592   |                   |
| 1466 | 1467 | Markets        | Sales                 | UK             | Willett Bank London                | Value of transactions                     |    150789765452 |    198678654888 |  -0.317587    |                   |
| 1467 | 1468 | Markets        | Sales                 | UK             | Willett Bank London                | HR Clients                                |             279 |               1 |   0.996416    |                   |
| 1468 | 1469 | Markets        | Sales                 | UK             | Willett Bank London                | MR Clients                                |             260 |               3 |   0.988462    |                   |
| 1469 | 1470 | Markets        | Sales                 | UK             | Willett Bank London                | LR Clients                                |             144 |               1 |   0.993056    |                   |
| 1470 | 1471 | Markets        | Sales                 | UK             | Willett Bank London                | Terrorist Financing breaches              |             111 |               0 |   1           |                   |
| 1471 | 1472 | Markets        | Sales                 | UK             | Willett Bank London                | Proliferation Financing breaches          |              11 |               0 |   1           |                   |
| 1472 | 1473 | Markets        | Sales                 | UK             | Willett Bank London                | New Products                              |               0 |               0 |   0           |                   |
| 1473 | 1474 | Markets        | Sales                 | UK             | Willett Bank London                | Wires - volume                            |           76567 |           98654 |  -0.288466    |                   |
| 1474 | 1475 | Markets        | Sales                 | UK             | Willett Bank London                | Wires - value                             |    786567908765 |   1234678987765 |  -0.569704    |                   |
| 1475 | 1476 | Markets        | M&A                   | UK             | Willett Bank London                | Total clients                             |             828 |             786 |   0.0507246   |                   |
| 1476 | 1477 | Markets        | M&A                   | UK             | Willett Bank London                | Business Income                           |        50678556 |        49786567 |   0.0176009   |                   |
| 1477 | 1478 | Markets        | M&A                   | UK             | Willett Bank London                | HR Clients                                |              58 |              71 |  -0.224138    |                   |
| 1478 | 1479 | Markets        | M&A                   | UK             | Willett Bank London                | MR Clients                                |             149 |             139 |   0.0671141   |                   |
| 1479 | 1480 | Markets        | M&A                   | UK             | Willett Bank London                | LR Clients                                |              41 |              66 |  -0.609756    |                   |
| 1480 | 1481 | Markets        | M&A                   | UK             | Willett Bank London                | Terrorist Financing breaches              |              19 |              16 |   0.157895    |                   |
| 1481 | 1482 | Markets        | M&A                   | UK             | Willett Bank London                | Proliferation Financing breaches          |              12 |              13 |  -0.0833333   |                   |
| 1482 | 1483 | Markets        | M&A                   | UK             | Willett Bank London                | New Products                              |               0 |               0 |   0           |                   |
| 1483 | 1484 | Markets        | Equity Markets        | UK             | Willett Bank London                | Total clients                             |             828 |             786 |   0.0507246   |                   |
| 1484 | 1485 | Markets        | Equity Markets        | UK             | Willett Bank London                | Business Income                           |        15905678 |        17567895 |  -0.104505    |                   |
| 1485 | 1486 | Markets        | Equity Markets        | UK             | Willett Bank London                | HR Clients                                |              58 |              71 |  -0.224138    |                   |
| 1486 | 1487 | Markets        | Equity Markets        | UK             | Willett Bank London                | MR Clients                                |             149 |             139 |   0.0671141   |                   |
| 1487 | 1488 | Markets        | Equity Markets        | UK             | Willett Bank London                | LR Clients                                |              41 |              66 |  -0.609756    |                   |
| 1488 | 1489 | Markets        | Equity Markets        | UK             | Willett Bank London                | Terrorist Financing breaches              |              19 |              16 |   0.157895    |                   |
| 1489 | 1490 | Markets        | Equity Markets        | UK             | Willett Bank London                | Proliferation Financing breaches          |              12 |              13 |  -0.0833333   |                   |
| 1490 | 1491 | Markets        | Equity Markets        | UK             | Willett Bank London                | New Products                              |               0 |               0 |   0           |                   |
| 1491 | 1492 | Markets        | Trading               | UK             | Willett Bank London                | Total clients                             |             828 |             786 |   0.0507246   |                   |
| 1492 | 1493 | Markets        | Trading               | UK             | Willett Bank London                | Business Income                           |       209567564 |       169765987 |   0.189922    |                   |
| 1493 | 1494 | Markets        | Trading               | UK             | Willett Bank London                | HR Clients                                |              58 |              71 |  -0.224138    |                   |
| 1494 | 1495 | Markets        | Trading               | UK             | Willett Bank London                | MR Clients                                |              78 |              67 |   0.141026    |                   |
| 1495 | 1496 | Markets        | Trading               | UK             | Willett Bank London                | LR Clients                                |               0 |               1 |   0           |                   |
| 1496 | 1497 | Markets        | Trading               | UK             | Willett Bank London                | Terrorist Financing breaches              |               3 |               2 |   0.333333    |                   |
| 1497 | 1498 | Markets        | Trading               | UK             | Willett Bank London                | Proliferation Financing breaches          |               0 |               0 |   0           |                   |
| 1498 | 1499 | Markets        | Trading               | UK             | Willett Bank London                | New Products                              |               0 |               0 |   0           |                   |
| 1499 | 1500 | Retail Bank    | EMEA                  | UK             | Willett Bank London                | Total clients                             |             675 |             588 |   0.128889    |                   |
| 1500 | 1501 | Retail Bank    | EMEA                  | UK             | Willett Bank London                | Business Income                           |          876564 |          866778 |   0.011164    |                   |
| 1501 | 1502 | Retail Bank    | EMEA                  | UK             | Willett Bank London                | Total Transactions                        |               0 |               0 |   0           |                   |
| 1502 | 1503 | Retail Bank    | EMEA                  | UK             | Willett Bank London                | Value of transactions                     |               0 |               0 |   0           |                   |
| 1503 | 1504 | Retail Bank    | EMEA                  | UK             | Willett Bank London                | HR Clients                                |             876 |             987 |  -0.126712    |                   |
| 1504 | 1505 | Retail Bank    | EMEA                  | UK             | Willett Bank London                | MR Clients                                |              34 |              43 |  -0.264706    |                   |
| 1505 | 1506 | Retail Bank    | EMEA                  | UK             | Willett Bank London                | LR Clients                                |             237 |             258 |  -0.0886076   |                   |
| 1506 | 1507 | Retail Bank    | EMEA                  | UK             | Willett Bank London                | Terrorist Financing breaches              |              77 |              78 |  -0.012987    |                   |
| 1507 | 1508 | Retail Bank    | EMEA                  | UK             | Willett Bank London                | Proliferation Financing breaches          |               9 |              20 |  -1.22222     | 1                 |
| 1508 | 1509 | Retail Bank    | EMEA                  | UK             | Willett Bank London                | Clients with HR products                  |               0 |               0 |   0           |                   |
| 1509 | 1510 | Retail Bank    | EMEA                  | UK             | Willett Bank London                | New Products                              |               0 |               0 |   0           |                   |
| 1510 | 1511 | Retail Bank    | EMEA                  | UK             | Willett Bank London                | Wires - volume                            |               0 |               0 |   0           |                   |
| 1511 | 1512 | Retail Bank    | EMEA                  | UK             | Willett Bank London                | Wires - value                             |               0 |               0 |   0           |                   |
| 1512 | 1513 | Retail Bank    | EMEA                  | UK             | Willett Bank London                | PEPs                                      |               0 |               0 |   0           |                   |
| 1513 | 1514 | Retail Bank    | EMEA                  | UK             | Willett Bank London                | Transactions Prohibited countries - value |               0 |               0 |   0           |                   |
| 1514 | 1515 | Retail Bank    | EMEA                  | UK             | Willett Bank London                | Transactions with Russia - volume         |               0 |               0 |   0           |                   |
| 1515 | 1516 | Retail Bank    | EMEA                  | UK             | Willett Bank London                | Transactions with Russia - value          |               0 |               0 |   0           |                   |
